date,elapsed_time,user_time,sys_time,max_memory
2020-01-01,8.137946128845215,3.3,0.53,3633131520
2020-01-10,4.403292655944824,3.4,0.52,3640098816
2020-01-12,3.9285812377929688,3.45,0.48,3634626560
2020-01-19,4.2471840381622314,3.45,0.48,3635720192
2020-01-24,3.9754629135131836,3.49,0.49,3633131520
2020-01-25,3.9931724071502686,3.5,0.5,3644067840
2020-01-28,3.937992811203003,3.49,0.46,3643858944
2020-01-29,4.476452112197876,3.9,0.6,3654823936
2020-01-30,4.3791069984436035,3.89,0.52,3669049344
2020-01-31,4.306497097015381,3.84,0.48,3639865344
2020-02-01,4.624959945678711,4.08,0.55,3670237184
2020-02-02,4.553643703460693,4.05,0.56,3647500288
2020-02-03,4.5380659103393555,3.99,0.57,3638194176
2020-02-04,4.354352712631226,3.91,0.51,3648016384
2020-02-05,4.142196893692017,3.67,0.5,3634237440
2020-02-06,4.12427830696106,3.65,0.54,3641860096
2020-02-07,4.4751715660095215,3.93,0.57,3628740608
2020-02-08,4.169917345046997,3.67,0.54,3636523008
2020-02-09,4.267988920211792,3.77,0.54,3638153216
2020-02-10,4.147113084793091,3.69,0.52,3659227136
2020-02-11,4.34864354133606,3.83,0.54,3630166016
2020-02-13,4.136743068695068,3.68,0.47,3634753536
2020-02-14,4.154062271118164,3.66,0.52,3637460992
2020-02-15,4.168990850448608,3.71,0.51,3651211264
2020-02-16,4.371039390563965,3.87,0.52,3636314112
2020-02-17,3.931612968444824,3.48,0.46,3630764032
2020-02-18,3.9270384311676025,3.49,0.44,3633377280
2020-02-19,3.9782087802886963,3.48,0.5,3631071232
2020-02-20,4.322371006011963,3.8,0.53,3630379008
2020-02-21,4.309574604034424,3.8,0.55,3636678656
2020-02-22,3.8711376190185547,3.37,0.52,3632488448
2020-02-23,3.9019906520843506,3.38,0.53,3632267264
2020-02-24,4.161086559295654,3.68,0.52,3636940800
2020-02-25,4.159609317779541,3.71,0.51,3642703872
2020-02-26,4.4096832275390625,3.9,0.55,3656663040
2020-02-27,4.437793493270874,4.05,0.55,3700457472
2020-02-28,4.436756134033203,3.97,0.59,3707514880
2020-02-29,4.4465906620025635,4.0,0.58,3701112832
2020-03-01,4.477369070053101,3.98,0.6,3671715840
2020-03-02,4.854946613311768,4.43,0.59,3682152448
2020-03-03,4.979091644287109,4.52,0.62,3734564864
2020-03-04,4.870150089263916,4.5,0.6,3747721216
2020-03-05,4.8124401569366455,4.48,0.58,3746902016
2020-03-06,5.19208836555481,4.73,0.73,3747893248
2020-03-07,4.9129087924957275,4.58,0.6,3723841536
2020-03-08,4.783301830291748,4.48,0.59,3731083264
2020-03-09,4.940784692764282,4.68,0.63,3792502784
2020-03-10,6.1841442584991455,14.08,0.92,3836063744
2020-03-11,6.6055779457092285,7.05,0.67,3890208768
2020-03-12,5.924875020980835,6.62,0.7,3975172096
2020-03-13,6.629442453384399,23.36,0.98,3955695616
2020-03-14,6.8938634395599365,14.16,0.84,3957080064
2020-03-15,6.497287034988403,20.33,0.98,3921121280
2020-03-16,7.0430827140808105,25.97,1.07,4093726720
2020-03-17,6.033658742904663,8.16,0.82,4114300928
2020-03-18,6.20519495010376,9.12,0.76,4124848128
2020-03-19,6.546528100967407,12.54,0.82,4176953344
2020-03-20,7.045011758804321,16.91,0.83,4173946880
2020-03-21,7.013936519622803,17.54,0.87,4189265920
2020-03-22,7.206298589706421,17.88,0.95,4217556992
2020-03-23,8.19748044013977,27.63,0.94,4263821312
2020-03-24,8.609751224517822,36.52,0.96,4298387456
2020-03-25,8.676888227462769,40.97,1.07,4384018432
2020-03-26,8.804885625839233,46.07,1.05,4398788608
2020-03-27,9.534860372543335,63.83,1.21,4611842048
2020-03-28,9.020855903625488,66.63,1.17,4668809216
2020-03-29,9.08791995048523,74.55,1.24,4770230272
2020-03-30,10.629153966903687,124.25,1.52,5095809024
2020-03-31,10.206804990768433,111.94,1.44,5374631936
2020-04-01,11.046670913696289,171.15,1.7,5726748672
2020-04-02,9.878204584121704,125.58,1.54,5537812480
2020-04-03,10.04021430015564,128.73,1.54,5520896000
2020-04-04,8.990330934524536,94.7,1.29,5639172096
2020-04-05,8.290210008621216,84.53,1.35,5485481984
2020-04-06,10.648714065551758,159.3,1.8,6004686848
2020-04-07,10.277636528015137,145.73,1.76,5852176384
2020-04-08,9.743034601211548,142.53,1.76,6032306176
2020-04-09,9.616629600524902,120.61,1.58,5969174528
2020-04-10,9.866234540939331,131.99,1.74,5907488768
2020-04-11,9.298171520233154,112.99,1.58,6119063552
2020-04-12,8.818813562393188,115.19,1.57,6399983616
2020-04-13,10.50464415550232,175.4,2.0,6983495680
2020-04-14,9.89510989189148,146.79,1.75,6824529920
2020-04-15,9.298559188842773,131.02,1.64,6532050944
2020-04-16,9.572048664093018,132.8,1.75,6464868352
2020-04-17,9.733011960983276,143.85,1.74,6659608576
2020-04-18,9.208074569702148,112.67,1.67,6355914752
2020-04-19,8.228667736053467,76.12,1.34,5675491328
2020-04-20,10.387762784957886,176.36,1.93,7361003520
2020-04-21,10.025389194488525,165.5,2.08,7629307904
2020-04-22,10.449544906616211,194.94,2.12,7453368320
2020-04-23,9.606405973434448,177.41,2.12,7618682880
2020-04-24,9.57660436630249,165.59,2.08,7586136064
2020-04-25,7.8921239376068115,60.63,1.25,5838835712
2020-04-26,8.360528230667114,85.79,1.59,6590267392
2020-04-27,10.009523868560791,195.26,2.34,8962011136
2020-04-28,9.05509638786316,114.62,1.82,6853222400
2020-04-29,10.107370853424072,169.22,2.11,7862099968
2020-04-30,10.116550207138062,170.71,2.15,8796528640
2020-05-01,10.466287851333618,229.54,2.4,12082200576
2020-05-02,8.71903371810913,89.59,1.52,7169064960
2020-05-03,8.637181520462036,80.38,1.51,6783504384
2020-05-04,9.544564247131348,127.22,1.93,7387574272
2020-05-05,10.243290185928345,207.38,2.41,10535895040
2020-05-06,10.044584035873413,157.06,2.03,7888642048
2020-05-07,9.074520826339722,100.01,1.76,6770847744
2020-05-08,9.341786623001099,124.01,1.86,9193758720
2020-05-09,9.310283184051514,99.94,1.7,8282370048
2020-05-10,8.254404544830322,76.88,1.46,6562631680
2020-05-11,10.41906189918518,190.84,2.31,9340882944
2020-05-12,10.53669548034668,183.99,2.34,8887640064
2020-05-13,10.941030979156494,223.93,2.84,10726092800
2020-05-14,10.091182231903076,160.38,2.21,10904068096
2020-05-15,9.300654888153076,92.21,1.65,7538499584
2020-05-16,8.587976932525635,64.93,1.33,6621130752
2020-05-17,8.446915864944458,69.7,1.34,6523506688
2020-05-18,9.89861273765564,149.02,2.08,8638623744
2020-05-19,9.910701513290405,159.14,2.11,11822960640
2020-05-20,9.67259669303894,109.79,1.73,8419090432
2020-05-21,9.30509877204895,91.29,1.71,9809338368
2020-05-22,8.91578984260559,105.35,1.74,9307750400
2020-05-23,8.361063003540039,58.15,1.2,7215566848
2020-05-24,8.192436695098877,46.96,1.23,7644815360
2020-05-25,8.676351547241211,59.6,1.32,6749454336
2020-05-26,8.856104850769043,52.11,1.28,5642633216
2020-05-27,9.407900094985962,132.93,2.08,10227290112
2020-05-28,8.993065357208252,68.83,1.43,7651446784
2020-05-29,8.4441499710083,73.49,1.41,7986585600
2020-05-30,8.277270078659058,46.23,1.2,6167470080
2020-05-31,7.664122581481934,25.58,0.87,5221294080
2020-06-01,11.067455530166626,258.86,3.08,17020780544
2020-06-02,9.917994499206543,137.04,2.16,10674364416
2020-06-03,8.60664701461792,71.78,1.52,8609046528
2020-06-04,8.655244827270508,67.05,1.41,6948917248
2020-06-05,8.948134660720825,83.78,1.42,8233312256
2020-06-06,8.576616048812866,50.12,1.21,6870482944
2020-06-07,10.109036684036255,174.15,2.45,12742582272
2020-06-08,11.345457315444946,272.4,3.13,12657192960
2020-06-09,10.911874055862427,237.27,2.96,13456379904
2020-06-10,11.546013355255127,225.53,2.85,11163484160
2020-06-11,11.916697025299072,272.39,3.17,12195000320
2020-06-12,11.385935306549072,206.79,2.81,11938279424
2020-06-13,11.027364253997803,176.8,2.47,11146420224
2020-06-14,10.669467687606812,172.46,2.28,10688352256
2020-06-15,12.154686450958252,292.56,3.33,14246768640
2020-06-16,11.604983568191528,232.79,2.96,12203782144
2020-06-17,10.892802238464355,187.31,2.64,11690872832
2020-06-18,11.386600017547607,255.86,3.29,15395786752
2020-06-19,11.975534439086914,273.06,3.46,16961867776
2020-06-20,10.370110034942627,90.6,1.69,6831022080
2020-06-21,10.8404221534729,129.93,2.17,9796747264
2020-06-22,10.700489044189453,115.46,1.9,8618409984
2020-06-23,11.728219985961914,228.41,3.04,13982167040
