,date,exact_matches,mean_hmm_cost,median_hmm_cost,rejected,scorpio,total,total_hmm_cost,inserted
0,2020-01-01,0,26.0,26.0,1,.,1,26.0,0
1,2020-01-10,0,17.0,17.0,1,.,1,17.0,0
2,2020-01-10,0,138.0,138.0,1,Omicron (BA.2-like),1,138.0,0
3,2020-01-12,0,30.0,30.0,1,Alpha (B.1.1.7-like),1,30.0,0
4,2020-01-19,0,3.0,3.0,0,.,1,3.0,1
5,2020-01-24,0,1.0,1.0,0,.,2,2.0,2
6,2020-01-25,2,1.5,1.5,0,.,4,6.0,2
7,2020-01-28,0,2.2,2.0,0,.,5,11.0,5
8,2020-01-29,5,2.83,1.0,1,.,12,34.0,6
9,2020-01-30,3,2.45,4.0,0,.,11,27.0,8
10,2020-01-31,0,2.33,2.0,0,.,3,7.0,3
11,2020-02-01,3,2.2,3.0,0,.,15,33.0,12
12,2020-02-02,3,1.58,1.0,0,.,12,19.0,9
13,2020-02-03,4,0.91,1.0,0,.,11,10.0,7
14,2020-02-04,0,2.22,2.0,0,.,9,20.0,9
15,2020-02-05,2,1.25,0.5,0,.,4,5.0,2
16,2020-02-06,4,1.44,1.0,0,.,9,13.0,5
17,2020-02-07,4,0.57,0.0,0,.,7,4.0,3
18,2020-02-08,2,1.22,1.0,0,.,9,11.0,7
19,2020-02-09,2,1.25,1.0,0,.,4,5.0,2
20,2020-02-10,1,8.57,11.0,4,.,7,60.0,2
21,2020-02-11,2,0.33,0.0,0,.,3,1.0,1
22,2020-02-13,2,0.5,0.5,0,.,4,2.0,2
23,2020-02-14,6,2.71,0.0,1,.,7,19.0,0
24,2020-02-15,2,2.17,2.5,0,.,6,13.0,4
25,2020-02-16,3,0.5,0.5,0,.,6,3.0,3
26,2020-02-17,1,0.0,0.0,0,.,1,0.0,0
27,2020-02-18,2,0.0,0.0,0,.,2,0.0,0
28,2020-02-19,2,0.0,0.0,0,.,2,0.0,0
29,2020-02-20,2,0.33,0.0,0,.,3,1.0,1
30,2020-02-21,1,1.33,2.0,0,.,3,4.0,2
31,2020-02-22,2,0.0,0.0,0,.,2,0.0,0
32,2020-02-23,3,0.0,0.0,0,.,3,0.0,0
33,2020-02-24,5,0.5,0.0,0,.,8,4.0,3
34,2020-02-25,5,1.1,0.5,0,.,10,11.0,5
35,2020-02-26,12,0.41,0.0,0,.,17,7.0,5
36,2020-02-27,15,1.16,1.0,0,.,31,36.0,16
37,2020-02-28,28,0.53,0.0,0,.,40,21.0,12
38,2020-02-29,23,0.67,0.0,0,.,36,24.0,13
39,2020-03-01,12,0.72,0.0,0,.,18,13.0,6
40,2020-03-01,0,28.0,28.0,1,Alpha (B.1.1.7-like),1,28.0,0
41,2020-03-02,18,0.89,0.0,0,.,28,25.0,10
42,2020-03-03,31,0.51,0.0,0,.,47,24.0,16
43,2020-03-04,34,0.78,0.0,0,.,54,42.0,20
44,2020-03-05,40,0.51,0.0,0,.,57,29.0,17
45,2020-03-06,40,0.53,0.0,0,.,60,32.0,20
46,2020-03-07,21,0.93,0.0,0,.,41,38.0,20
47,2020-03-08,27,0.65,0.0,0,.,43,28.0,16
48,2020-03-09,47,0.68,0.0,0,.,80,54.0,33
49,2020-03-10,56,0.85,0.0,2,.,98,83.0,40
50,2020-03-11,60,1.05,1.0,0,.,129,135.0,69
51,2020-03-12,93,0.65,0.0,0,.,162,105.0,69
52,2020-03-13,78,0.85,0.0,0,.,146,124.0,68
53,2020-03-14,95,0.62,0.0,0,.,156,96.0,61
54,2020-03-15,69,0.76,0.0,0,.,126,96.0,57
55,2020-03-16,120,0.73,0.0,0,.,209,152.0,89
56,2020-03-17,121,0.71,0.0,0,.,216,153.0,95
57,2020-03-17,0,26.0,26.0,1,B.1.617.1-like,1,26.0,0
58,2020-03-18,111,0.8,0.0,0,.,213,170.0,102
59,2020-03-19,114,0.98,1.0,0,.,286,279.0,172
60,2020-03-19,0,22.0,22.0,1,B.1.617.1-like,1,22.0,0
61,2020-03-20,153,1.01,1.0,0,.,346,348.0,193
62,2020-03-21,172,0.84,0.0,0,.,342,288.0,170
63,2020-03-22,181,0.77,0.0,1,.,339,261.0,157
64,2020-03-23,255,0.81,1.0,0,.,524,425.0,269
65,2020-03-24,281,0.82,1.0,1,.,581,479.0,299
66,2020-03-25,329,0.69,0.0,1,.,584,401.0,254
67,2020-03-26,320,0.79,0.0,0,.,623,494.0,303
68,2020-03-27,367,0.75,0.0,0,.,724,543.0,357
69,2020-03-28,305,0.85,1.0,0,.,614,519.0,309
70,2020-03-29,343,0.71,0.0,0,.,629,448.0,286
71,2020-03-30,423,0.82,0.0,0,.,840,691.0,417
72,2020-03-31,0,59.0,59.0,1,Omicron (BA.5-like),1,59.0,0
73,2020-03-31,374,0.81,0.0,1,.,700,566.0,325
74,2020-04-01,412,0.83,0.0,0,.,800,663.0,388
